#{"t_start": 1588858822.4834797, "env_id": null}
r,l,t
-3.972222,1,3.708461
-3.972222,1,3.710464
-3.972222,1,3.711452
-3.972222,1,3.713448
-4.027778,1,3.719432
-4.027778,1,3.720429
-4.027778,1,3.722433
-4.027778,1,3.723421
-3.972222,1,3.725415
-3.972222,1,3.731399
-3.972222,1,3.732397
-3.972222,1,3.734392
-3.972222,1,3.73541
-3.972222,1,3.737383
-3.972222,1,3.742379
-4.027778,1,3.744372
-3.972222,1,3.746359
-4.027778,1,3.747356
-3.972222,1,3.749351
-4.027778,1,3.754339
-3.972222,1,3.756332
-3.972222,1,3.757331
-4.027778,1,3.759333
-4.027778,1,3.761318
-4.027778,1,3.766307
-3.972222,1,3.7683
-4.027778,1,3.769299
-4.027778,1,3.771292
-4.027778,1,3.773288
-4.027778,1,3.778273
-4.027778,1,3.779271
-4.027778,1,3.781265
-4.027778,1,3.782269
-4.027778,1,3.784259
-3.972222,1,3.789244
-4.027778,1,3.791239
-4.027778,1,3.792238
-3.972222,1,3.794232
-3.972222,1,3.796225
-3.972222,1,3.801223
-4.027778,1,3.802211
-4.027778,1,3.804205
-3.972222,1,3.805202
-4.027778,1,3.807197
-4.027778,1,3.812183
-4.027778,1,3.814178
-4.027778,1,3.816173
-3.972222,1,3.818181
-3.972222,1,3.820161
-3.972222,1,3.82515
-4.027778,1,3.828141
-4.027778,1,3.829156
-3.972222,1,3.83213
-3.972222,1,3.833128
-3.972222,1,3.839112
-3.972222,1,3.841105
-3.972222,1,3.842103
-4.027778,1,3.844105
-3.972222,1,3.845123
-4.027778,1,3.851079
-3.972222,1,3.852098
-3.972222,1,3.854071
-3.972222,1,3.855069
-4.027778,1,3.857064
-4.027778,1,3.863048
-3.972222,1,3.864044
-3.972222,1,3.866039
-4.027778,1,3.868035
-4.027778,1,3.869032
-4.027778,1,3.875016
-3.972222,1,3.876012
-3.972222,1,3.878007
-4.027778,1,3.879035
-3.972222,1,3.880999
-3.972222,1,3.885986
-3.972222,1,3.887981
-4.027778,1,3.888978
-4.027778,1,3.890973
-4.027778,1,3.892968
-4.027778,1,3.897955
-4.027778,1,3.899949
-3.972222,1,3.900945
-4.027778,1,3.90294
-4.027778,1,3.904936
-3.972222,1,3.909922
-3.972222,1,3.91092
-4.027778,1,3.912914
-3.972222,1,3.91491
-3.972222,1,3.915907
-3.972222,1,3.920892
-3.972222,1,3.922891
-3.972222,1,3.924882
-3.972222,1,3.92588
-3.972222,1,3.927874
-3.972222,1,3.933869
-4.027778,1,3.934857
-4.027778,1,3.936851
-4.027778,1,3.937848
-3.972222,1,3.939842
-3.972222,1,3.944841
-4.027778,1,3.946823
-3.972222,1,3.948818
-4.027778,1,3.949819
-3.972222,1,3.951812
-4.027778,1,3.956797
-4.027778,1,3.958792
-3.972222,1,3.959788
-4.027778,1,3.961784
-3.972222,1,3.962781
-4.027778,1,3.968765
-4.027778,1,3.969762
-4.027778,1,3.971756
-3.972222,1,3.972754
-4.027778,1,3.974749
-4.027778,1,3.979735
-3.972222,1,3.980732
-3.972222,1,3.982727
